Date Pulled,Artist
2/20/21,Lael Neale
2/20/21,Ian Fisher
2/20/21,Mogwai
2/20/21,I Call Fives
2/20/21,Adam Melchor
2/20/21,Wild Pink
2/20/21,Oscar Scheller
2/20/21,Rise Against
2/20/21,LAVA LA RUE
2/20/21,daydream Masi
2/20/21,Babeheaven
2/20/21,Psymon Spine
2/20/21,Transviolet
2/20/21,Hibou
2/20/21,Mob Rich
2/20/21,Yoshi Flower
2/20/21,Slide
2/20/21,Tones And I
2/20/21,Mister Goblin
2/20/21,Pashy
2/20/21,Xixa
2/20/21,The Orange Peels
2/20/21,The Strumbellas
2/20/21,Mike Shinoda
2/20/21,Hoorsees
2/20/21,Edie Brickell & New Bohemians
2/20/21,The Vain Travail
2/20/21,MUT3
2/20/21,Ted Taforo
2/20/21,Leatherwood
2/20/21,Lucy Daydream
2/20/21,Insightful
2/20/21,Matt Berninger
2/20/21,Hayden Calnin
2/20/21,TWIN XL
2/20/21,L'FREAQ
2/20/21,Ela Minus
2/20/21,Friedberg
2/20/21,Minimal Schlager
2/20/21,Another Michael
2/20/21,Emily Weisband
2/20/21,Lord Huron
2/20/21,Will Paquin
2/20/21,Philip B. Price
2/20/21,Smith & Burrows
2/20/21,The Hold Steady
2/20/21,Alicia Clara
2/20/21,Cassandra Jenkins
2/20/21,Nicholas Blythe
2/20/21,Love Ghost
2/20/21,Monolink
2/20/21,Lund
2/20/21,Wallows
2/20/21,Tenfold
2/20/21,Bronze Radio Return
2/20/21,Alex Siegel
2/20/21,Jane's Party
2/20/21,Ethan Bortnick
2/20/21,Antoine Diligent
2/20/21,White Cliffs
2/20/21,Kid Congo & The Pink Monkey Birds
2/20/21,Tash Sultana
2/20/21,RUDE CAT
2/20/21,Ryan Dugre
2/20/21,Iris Doe
2/20/21,Ben Chandler
2/20/21,"nothing,nowhere."
2/20/21,Tommy Newport
2/20/21,j. pastel
2/20/21,Chloe Tang
2/20/21,Powfu
2/20/21,Valley Maker
2/20/21,HAIM
2/20/21,Babygirl
2/20/21,Mobley
2/20/21,Will Joseph Cook
2/20/21,Mont Duamel
2/20/21,Kishi Bashi
2/20/21,Harry McNally
2/20/21,FLAWS
2/20/21,Restless Modern
2/20/21,DEAR-GOD
2/20/21,Katie Malco
2/20/21,Sara But
2/20/21,Lady HD & Eraserhood Sound
2/20/21,Phil Good
2/20/21,The Blossom
2/20/21,Ghost of Vroom
2/20/21,Derek Simpson
2/20/21,Shura
2/20/21,Julia Wallace
2/20/21,Monokoi
2/20/21,Argonaut & Wasp
2/20/21,Ouri & Mobilegirl
2/20/21,grandson
2/20/21,Jackie Hayes
2/20/21,LiL Lotus
2/20/21,Porridge Radio & piglet
2/20/21,Layo Bell
2/20/21,Jahi Sundance
