Date Pulled,Artist
9/28/19,Mt. Feral
9/28/19,Red River Dialect
9/28/19,Chance Pena
9/28/19,FUTURE FEATS
9/28/19,"nothing, nowhere."
9/28/19,American Authors
9/28/19,Said The Whale
9/28/19,Bishop Briggs
9/28/19,pretty havoc.
9/28/19,Ackerman
9/28/19,Autumn Walker
9/28/19,Cassandra Violet
9/28/19,Shakeable Germ & Phats & Small
9/28/19,Yoke Lore
9/28/19,Jeremy Elliot
9/28/19,Charlie Cunningham
9/28/19,Emel Mathlouthi
9/28/19,Jax Anderson
9/28/19,The Pylons
9/28/19,Vancouver Sleep Clinic
9/28/19,Micko & The Mellotronics
9/28/19,ROARY
9/28/19,Tessa Violet
9/28/19,Freezing Cold
9/28/19,Veridian
9/28/19,CHAMPS
9/28/19,William Wild
9/28/19,The Hengles
9/28/19,Tegan and Sara
9/28/19,Squarehead
9/28/19,Temples
9/28/19,The New Pornographers
9/28/19,Nari
9/28/19,Steven A. Clark
9/28/19,Avid Dancer
9/28/19,The Early November
9/28/19,Outer Vibe
9/28/19,Wild Nothing
9/28/19,Echosmith
9/28/19,Sui Zhen
9/28/19,Partial Traces
9/28/19,Richard Ashcroft
9/28/19,JR JR
9/28/19,Para Fiction
9/28/19,Alt Bloom
9/28/19,Run River North
9/28/19,Loving
9/28/19,Elohim
9/28/19,Jaymes Young
9/28/19,Juana Molina
9/28/19,Amber Run
9/28/19,Sam Goodwill
9/28/19,Henry Chadwick
9/28/19,Deaton Chris Anthony
9/28/19,Nina June
9/28/19,65daysofstatic
9/28/19,Flume
9/28/19,Lush Puppy
9/28/19,Amy Montgomery
9/28/19,Automatic
9/28/19,Zoe Sky Jordan 
9/28/19,The Japanese House
9/28/19,Laurie Anderson
9/28/19,Moby Rich
9/28/19,Moon Duo
9/28/19,Boy & Bear
9/28/19,Girl Band
9/28/19,Hamster
9/28/19,Noel Gallagher's High Flying Birds
9/28/19,Nightly
9/28/19,Spacebomb House Band
9/28/19,Luna Shadows
9/28/19,BAILEN
9/28/19,Billy Raffoul
9/28/19,Crooked Teeth
9/28/19,Tom Speight
9/28/19,Zero 9:36
9/28/19,Team Dresch
9/28/19,Hashshashin
9/28/19,AVES
9/28/19,Magdalena Bay
9/28/19,Elah Hale
9/28/19,Dr. Woke & Dr. Sleep
9/28/19,Honeyblood
9/28/19,Holy Hive
9/28/19,Songhoy Blues
9/28/19,Dayglow
9/28/19,REI AMI
9/28/19,Jennifer Vanilla
9/28/19,Buscabulla
9/28/19,The Mountain Goats
9/28/19,Ray Goren
9/28/19,Lauren Sanderson
9/28/19,Ariel View
9/28/19,Rosie Tucker
9/28/19,Samia
9/28/19,Heaven the Dude
9/28/19,Chohyun
9/28/19,Fitz and The Tantrums
9/28/19,Bombadil
9/28/19,The Berries
9/28/19,Keane
9/28/19,Chastity Belt
9/28/19,M83
9/28/19,Jealous of the Birds
9/28/19,Brittany Howard
9/28/19,The Shelters
9/28/19,slenderbodies
9/28/19,Marco Benevento
9/28/19,Amber Lucid
9/28/19,The Dirty Nil
9/28/19,Vivian Girls
9/28/19,Mudhoney
9/28/19,A Giant Dog
9/28/19,blink-182
9/28/19,Cones
9/28/19,Spirit Animal
9/28/19,isle&fever
9/28/19,OJR
9/28/19,Hiss Golden Messenger
9/28/19,Babe Rainbow
9/28/19,Liam Gallagher
9/28/19,Will Joseph Cook
9/28/19,Stealth
9/28/19,Sarah Rogo
9/28/19,Overcoats
9/28/19,phem
9/28/19,Weeping Icon
